x,y
1,0.841470985
1.5,0.997494987
2,0.909297427
2.5,0.598472144
3,0.141120008
3.5,-0.350783228
4,-0.756802495
4.5,-0.977530118
5,-0.958924275
5.5,-0.705540326
6,-0.279415498
6.5,0.215119988
7,0.656986599
7.5,0.937999977
8,0.989358247
8.5,0.798487113
9,0.412118485
9.5,-0.07515112
10,-0.544021111
10.5,-0.87969576
11,-0.999990207
11.5,-0.875452175
12,-0.536572918
12.5,-0.066321897
13,0.420167037
13.5,0.803784427
14,0.990607356
14.5,0.934895056
15,0.65028784
15.5,0.206467482
16,-0.287903317
16.5,-0.711785342
17,-0.961397492
17.5,-0.975626005
18,-0.750987247
18.5,-0.342480618
19,0.14987721
19.5,0.60553987
20,0.912945251
