x,error %
1.25,15.69937134
1.75,4.168154358
2.25,9.244220647
2.75,44.10694607
3.5,28.73091406
4.25,14.52650141
4.75,9.936305963
5.25,28.0656451
5.75,22.96394396
6.25,778.1353613
6.75,22.21025274
7.25,24.53211174
7.75,35.73312459
8.25,11.09856086
8.75,19.96465047
9.25,100
9.75,72.13363422
10.25,42.15313625
10.75,36.59823839
11.25,32.83791809
11.75,85.27032927
12.25,59.8224932
12.75,277.9855094
13.25,66.24156647
14,61.51707241
14.75,41.93308525
15.25,88.69090863
15.75,316.4252122
16.25,45.38212667
16.75,88.41833179
17.25,12.54654122
17.75,43.88364502
18.25,165.8274063
18.75,403.0608896
19.25,66.74049113
19.75,26.62099418
20.25,23.89843839
20.75,84.95884479
21.25,81.44501687
21.75,308.2604718
22.25,349.2706775
22.75,154.3277639
23.25,39.5842425
23.75,4.339538447
24.25,41.74625752
24.75,207.9273172
25.25,420.5395448
25.75,81.4092012
26.25,11.00260911
26.75,79.97839298
27.25,157.5002149
27.75,84.76479961
28.25,4723.639661
28.75,63.78023321
29.25,84.16194953
29.75,146.1127908
30.25,33.27477306
30.75,35.25286723
31.25,402.7253533
31.75,220.2254399
32.25,150.6295396
32.75,128.8831525
33.25,105.178437
33.75,186.4962794
34.25,157.8139442
34.75,792.6493726
35.25,158.4389978
35.75,158.2622041
36.25,131.7133875
36.75,99.90194147
37.25,180.614397
37.75,637.2283099
38.25,81.49021485
38.75,180.6577241
39.25,42.52824355
39.75,77.4508785
40.25,301.9943468
40.75,1003.994368
41.25,163.8435437
41.75,39.80264102
42.25,24.01116205
42.75,191.5439195
43.25,202.8808901
43.75,714.4610825
44.25,599.3884479
44.75,295.9772999
45.25,50.23143611
45.75,35.11081843
46.25,28.27628054
46.75,461.2759191
47.25,795.6801581
47.75,147.4414383
48.25,0.304153028
48.75,120.0306353
49.25,255.9309654
49.75,229.6449138
50.25,12533.92346
50.75,125.427594
51.25,155.1004298
51.75,243.0320371
52.25,99.31606412
52.75,1.768750745
53.25,547.4845006
53.75,360.9759824
54.25,230.5933838
54.75,241.3233964
55.25,125.9551237
55.75,257.0291969
56.25,159.4738006
56.75,1312.652591
57.25,279.7059918
57.75,275.3266664
58.25,263.0890603
58.75,224.9922114
59.25,205.5904105
59.75,360.6052314
60.25,135.4201747
60.75,260.5084648
61.25,102.5123786
61.75,66.01836109
62.25,377.4881487
62.75,2101.51976
63.25,207.8304168
63.75,27.62540053
64.25,6.235337762
64.75,351.9940387
65.25,372.0748692
65.75,1242.563579
66.25,833.9206071
66.75,463.6209345
67.25,29.46872323
67.75,96.64801255
68.25,24.81603476
68.75,810.4020283
69.25,1270.548717
69.75,228.755142
70.25,32.37465071
70.75,120.0412426
71.25,292.299677
71.75,440.9758452
72.25,36670.7414
72.75,163.9381724
73.25,261.0346362
73.75,293.0784632
74.25,198.7817712
74.75,82.18817226
1.25,11.48433991
